ts_code,symbol,name,area,industry
TDY,TDY,Teledyne Technologies,US,Information Technology
TER,TER,Teradyne,US,Information Technology
TSLA,TSLA,"Tesla, Inc.",US,Consumer Discretionary
TXN,TXN,Texas Instruments,US,Information Technology
TPL,TPL,Texas Pacific Land Corporation,US,Energy
TXT,TXT,Textron,US,Industrials
TMO,TMO,Thermo Fisher Scientific,US,Health Care
TJX,TJX,TJX Companies,US,Consumer Discretionary
TKO,TKO,TKO Group Holdings,US,Communication Services
TTD,TTD,Trade Desk (The),US,Communication Services
TSCO,TSCO,Tractor Supply,US,Consumer Discretionary
TT,TT,Trane Technologies,US,Industrials
TDG,TDG,TransDigm Group,US,Industrials
TRV,TRV,Travelers Companies (The),US,Financials
TRMB,TRMB,Trimble Inc.,US,Information Technology
TFC,TFC,Truist Financial,US,Financials
TYL,TYL,Tyler Technologies,US,Information Technology
TSN,TSN,Tyson Foods,US,Consumer Staples
USB,USB,U.S. Bancorp,US,Financials
UBER,UBER,Uber,US,Industrials
UDR,UDR,"UDR, Inc.",US,Real Estate
ULTA,ULTA,Ulta Beauty,US,Consumer Discretionary
UNP,UNP,Union Pacific Corporation,US,Industrials
UAL,UAL,United Airlines Holdings,US,Industrials
UPS,UPS,United Parcel Service,US,Industrials
URI,URI,United Rentals,US,Industrials
UNH,UNH,UnitedHealth Group,US,Health Care
UHS,UHS,Universal Health Services,US,Health Care
VLO,VLO,Valero Energy,US,Energy
VTR,VTR,Ventas,US,Real Estate
VLTO,VLTO,Veralto,US,Industrials
VRSN,VRSN,Verisign,US,Information Technology
VRSK,VRSK,Verisk Analytics,US,Industrials
VZ,VZ,Verizon,US,Communication Services
VRTX,VRTX,Vertex Pharmaceuticals,US,Health Care
VRT,VRT,Vertiv,US,Industrials
VTRS,VTRS,Viatris,US,Health Care
VICI,VICI,Vici Properties,US,Real Estate
V,V,Visa Inc.,US,Financials
VST,VST,Vistra Corp.,US,Utilities
VMC,VMC,Vulcan Materials Company,US,Materials
WRB,WRB,W. R. Berkley Corporation,US,Financials
GWW,GWW,W. W. Grainger,US,Industrials
WAB,WAB,Wabtec,US,Industrials
WMT,WMT,Walmart,US,Consumer Staples
DIS,DIS,Walt Disney Company (The),US,Communication Services
WBD,WBD,Warner Bros. Discovery,US,Communication Services
WM,WM,Waste Management,US,Industrials
WAT,WAT,Waters Corporation,US,Health Care
WEC,WEC,WEC Energy Group,US,Utilities
WFC,WFC,Wells Fargo,US,Financials
WELL,WELL,Welltower,US,Real Estate
WST,WST,West Pharmaceutical Services,US,Health Care
WDC,WDC,Western Digital,US,Information Technology
WY,WY,Weyerhaeuser,US,Real Estate
